# vehicle id = 2
# random fix = 0.68322347
# vehicle type = OBSTACLE
# model label = 
# physical vehicle length (in m) = 1.00
# position x is defined by vehicle front (on the given road segment)
# origin roadsegment id= 3, exit roadsegment id= -1 (not set=-1)
# Route [name=main, length=5000.0, roadSegments=[RoadSegment [nodeId=2, userId=2, roadName=R2, roadLength=2000.0, laneCount=1, Node[type=origin, nodeId=7], Node[type=destination, nodeId=9]], RoadSegment [nodeId=3, userId=3, roadName=R3, roadLength=500.0, laneCount=2, Node[type=origin, nodeId=9], Node[type=destination, nodeId=10]], RoadSegment [nodeId=4, userId=4, roadName=R4, roadLength=2500.0, laneCount=1, Node[type=origin, nodeId=10], Node[type=destination, nodeId=11]]]]
#     t[s],    roadId,      lane,      x[m], totalX[m],    v[m/s],  a[m/s^2],aModel[m/s^2], gap[m],   dv[m/s],distToTL[m],fuelFlow[ml/s],frontVehID,slope[rad]
     11.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     12.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     12.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     12.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     12.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     12.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     13.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     13.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     13.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     13.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     13.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     14.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     14.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     14.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     14.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     14.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     15.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     15.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     15.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     15.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     15.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     16.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     16.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     16.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     16.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     16.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     17.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     17.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     17.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     17.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     17.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     18.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     18.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     18.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     18.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     18.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     19.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     19.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     19.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     19.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     19.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     20.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     20.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     20.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     20.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     20.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     21.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     21.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     21.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     21.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     21.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     22.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     22.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     22.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     22.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     22.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     23.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     23.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     23.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     23.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     23.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     24.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     24.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     24.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     24.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     24.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     25.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     25.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     25.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     25.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     25.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     26.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     26.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     26.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     26.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     26.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     27.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     27.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     27.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     27.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     27.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     28.00,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     28.20,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     28.40,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     28.60,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
     28.80,         3,         2,    501.00,      0.00,     0.000,   0.00000,   0.00000, 10000.000,   0.00000,     -1.00,  0.000000,        -1, 0.00000
