#v(km/h),   acc(m/s^2),  forceMech(N), powMech(kW), fuelFlow(l/h), consump(liters/100km), Gear
# veh mass = 1000.0
# number of gears = 7
# v[m/s], accFreeWheeling[m/s^2], fuelFlow[l/h], gear, c100[l/100km]
50.400, -1.26388562,  22.75660667,  7,  12.54222149
50.600, -1.27276619,  22.99278441,  7,  12.62230150
50.800, -1.28168192,  23.23071609,  7,  12.70271002
51.000, -1.29063283,  23.47040897,  7,  12.78344715
51.200, -1.29961891,  23.71187034,  7,  12.86451299
51.400, -1.30864016,  23.95510754,  7,  12.94590766
51.600, -1.31769658,  24.20012796,  7,  13.02763133
51.800, -1.32678817,  24.44693906,  7,  13.10968418
52.000, -1.33591493,  24.69554837,  7,  13.19206643
52.200, -1.34507686,  24.94596346,  7,  13.27477834
52.400, -1.35427396,  25.19819203,  7,  13.35782020
52.600, -1.36350623,  25.45224183,  7,  13.44119235
52.800, -1.37277367,  25.70812073,  7,  13.52489516
53.000, -1.38207629,  25.96583670,  7,  13.60892909
53.200, -1.39141407,  26.22539784,  7,  13.69329461
53.400, -1.40078703,  26.48681239,  7,  13.77799230
53.600, -1.41019515,  26.75008874,  7,  13.86302277
53.800, -1.41963845,  27.01523543,  7,  13.94838674
54.000, -1.42911691,  27.28226123,  7,  14.03408499
54.200, -1.43863055,  27.55117507,  7,  14.12011843
54.400, -1.44817936,  27.82198617,  7,  14.20648804
54.600, -1.45776333,  28.09470396,  7,  14.29319493
54.800, -1.46738248,  28.36933820,  7,  14.38024037
55.000, -1.47703680,  28.64589896,  7,  14.46762574
55.200, -1.48672629,  28.92439667,  7,  14.55535259
55.400, -1.49645095,  29.20484218,  7,  14.64342267
